,epoch_s,id,original,reconstruct,transfer,blue,transfer_acc,domain_acc,geo_mean,epoch
0,1,0,if she changes her mind this is the first place she will go,"if she came her mind this is the second show i want to
","if she <unk> her mind this is the same thing i want to
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
1,1,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the way to my heart
","i never thought that you would be the one to hold my heart
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
2,1,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the same way so just be you down
","oh yo her down so make the same here so you just be right
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
3,1,3,and I am a man of expanding so why should i stand in her way,"and I am a man of bobby can not know you in her own shit
","and I am a man of far so i could know them in a place
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
4,1,4,and I am a man of expanding so why should i stand in her way,"and I am a man of bobby can not know you in her own shit
","and I am a man of far so i could know them in a place
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
5,1,5,every inch of your skin is a holy gray I have got to find,"every colors of your eyes is a lonely sumthin I have got to find
","every colors of your car is a gold digger I have got to find
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
6,1,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it out to watch it for it
","then I am willing to wait for it is going to watch it
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
7,1,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am ready but i can not let to play her
","baby I am baby I am hopin but i do not want to play
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
8,1,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the rain and the dark of the sun was never changed
","and i kill by the bar and the birds is the heat just had ya
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
9,1,9,and I am a man of expanding so why should i stand in her way,"and I am a man of bobby can not know you in her own shit
","and I am a man of far so i could know them in a place
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
10,1,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes in my heart
","but i can not help it that i can not take my mind in all my
",0.1715142857142857,0.5696071428571428,0.9984214285714286,0.28874561256241604,1
0,2,0,if she changes her mind this is the first place she will go,"if she came her mind this is the second show i want to
","if she <unk> her mind this is the same thing i want to
",0.5459892857142858,0.5312607142857143,0.9982892857142857,0.5363006102747946,2
