,epoch_s,id,original,reconstruct,transfer,blue,transfer_acc,domain_acc,geo_mean,epoch
0,1,0,if she changes her mind this is the first place she will go,"if she gets her mind it is the first thing i want us
","if she gets her mind what this is the shit i want him
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
1,1,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to your mind off
","i never thought that you would be the one to get my heart
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
2,1,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes let your door like we do you are <unk>
","while her your hand your let you play up to you are not <unk>
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
3,1,3,and I am a man of expanding so why should i stand in her way,"and I am a man of them so i knew we die in her way
","and I am a man of them so i can remember myself in her way
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
4,1,4,and I am a man of expanding so why should i stand in her way,"and I am a man of them so i knew we die in her way
","and I am a man of them so i can remember myself in her way
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
5,1,5,every inch of your skin is a holy gray I have got to find,"every half of your soul is a little lover I have got to find
","every half of your brothers is a ac I am never seen to find
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
6,1,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it for it too
","then I am willing to wait for it wait for it for it for
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
7,1,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am sorry and i do not want to play us
","baby I am baby I am proud and i do not want to play em
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
8,1,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be you
","and i swear by the moon and the stars in the mornin ill be you
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
9,1,9,and I am a man of expanding so why should i stand in her way,"and I am a man of them so i knew we die in her way
","and I am a man of them so i can remember myself in her way
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
10,1,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my head of all you
","but i can not help it that i can not get my ass on the other
",0.1756214285714286,0.5729,0.9982321428571429,0.2930424170989784,1
0,2,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she caught her mind this is the first place she will go
",0.5461607142857142,0.5304892857142857,0.9981428571428573,0.5358837154330528,2
1,2,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to get my heart
",0.5461607142857142,0.5304892857142857,0.9981428571428573,0.5358837154330528,2
